,original_name,Country,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
58,"MIO_BAL_VAL,TOTAL,EXT_EU28,AT",AT,5935.8,4556.6,5491.8,5372.8,6165.4,7174.8,8642.9,8547.2,9020.8,7530.5,8008.0,10329.9
59,"MIO_BAL_VAL,TOTAL,EXT_EU28,BE",BE,-21443.7,-10693.6,-8179.7,-12759.7,-6805.6,-8801.7,-14937.9,-24728.1,-23590.2,-23120.9,-29127.9,-26854.3
60,"MIO_BAL_VAL,TOTAL,EXT_EU28,BG",BG,-4842.7,-2686.2,-1942.8,-1904.3,-1966.0,-1484.1,-1727.2,-1368.8,-689.1,-765.9,-2459.0,-2250.1
61,"MIO_BAL_VAL,TOTAL,EXT_EU28,CY",CY,-1973.2,-1245.7,-1553.3,-1500.7,-1216.8,-764.2,-1001.1,-659.7,-1015.1,-1407.6,-888.2,-1101.7
62,"MIO_BAL_VAL,TOTAL,EXT_EU28,CZ",CZ,-7642.8,-4434.8,-8201.5,-8235.1,-4222.1,-2097.4,-2841.3,-5168.0,-3388.3,-5746.5,-9956.8,-9601.8
63,"MIO_BAL_VAL,TOTAL,EXT_EU28,DE",DE,65462.9,65411.1,84616.0,99936.8,143318.8,155105.7,162679.8,177009.2,178303.8,184558.2,177099.8,185899.8
64,"MIO_BAL_VAL,TOTAL,EXT_EU28,DK",DK,2820.6,3859.2,6091.1,7531.7,8966.2,8539.9,7583.8,9716.3,10841.9,9803.5,10012.0,14843.4
65,"MIO_BAL_VAL,TOTAL,EXT_EU28,EE",EE,332.5,549.8,872.6,1087.7,1131.1,1075.5,835.3,469.2,633.4,829.9,817.3,706.8
66,"MIO_BAL_VAL,TOTAL,EXT_EU28,EL",EL,-20501.2,-15005.6,-12675.6,-11083.0,-9899.3,-9250.9,-9404.3,-7393.2,-7048.7,-7809.4,-9879.2,-11184.2
67,"MIO_BAL_VAL,TOTAL,EXT_EU28,ES",ES,-58506.1,-30122.6,-41136.1,-43234.9,-36705.5,-25962.0,-26841.4,-21429.6,-20178.9,-30098.4,-37865.0,-38478.3
68,"MIO_BAL_VAL,TOTAL,EXT_EU28,EU28",28,-276280.9,-142114.5,-175134.6,-174950.2,-112738.0,49478.3,16331.7,65083.0,38674.6,24291.2,-22045.3,-14943.1
69,"MIO_BAL_VAL,TOTAL,EXT_EU28,FI",FI,5174.4,4712.0,5320.6,1830.2,4214.6,5366.3,5479.3,7429.4,6821.1,6711.4,6491.0,8148.7
70,"MIO_BAL_VAL,TOTAL,EXT_EU28,FR",FR,-3994.8,7067.4,8801.4,-1599.9,8821.8,12238.2,13040.9,28831.9,29474.2,28559.2,26013.1,29035.7
71,"MIO_BAL_VAL,TOTAL,EXT_EU28,HR",HR,-3724.9,-2706.8,-2561.4,-2369.5,-2053.9,-1859.3,-269.8,-159.7,-259.4,218.9,-580.3,-116.5
72,"MIO_BAL_VAL,TOTAL,EXT_EU28,HU",HU,-8358.0,-5524.1,-5707.6,-4031.8,-3493.1,-3377.7,-2947.7,-2820.6,-1810.2,-3850.6,-6619.5,-8197.0
73,"MIO_BAL_VAL,TOTAL,EXT_EU28,IE",IE,14562.8,16726.3,21236.0,20729.7,18228.6,19579.4,20664.0,28739.6,33635.3,31166.2,36581.9,49011.0
74,"MIO_BAL_VAL,TOTAL,EXT_EU28,IT",IT,-23206.2,-3963.9,-22634.8,-21213.7,827.5,19569.5,26997.9,33222.0,39567.2,38919.2,26917.5,37604.1
75,"MIO_BAL_VAL,TOTAL,EXT_EU28,LT",LT,-2595.8,-1160.8,-1562.6,-2091.2,-1415.7,533.3,2095.7,654.5,1726.0,2628.9,2013.5,2251.5
76,"MIO_BAL_VAL,TOTAL,EXT_EU28,LU",LU,-3522.2,-3251.1,-1296.7,-856.2,-1805.5,-1585.9,-1489.8,-3362.5,-1991.0,-1214.2,-316.0,-924.7
77,"MIO_BAL_VAL,TOTAL,EXT_EU28,LV",LV,-517.4,62.0,246.6,590.5,1075.3,967.1,803.9,624.3,776.1,922.1,357.0,771.7
78,"MIO_BAL_VAL,TOTAL,EXT_EU28,MT",MT,562.4,426.1,451.5,671.3,837.8,169.1,-812.8,-533.4,-923.6,-909.7,-397.3,-470.8
79,"MIO_BAL_VAL,TOTAL,EXT_EU28,NL",NL,-114064.4,-81588.4,-107068.0,-118001.9,-125490.3,-115308.8,-118223.9,-125439.7,-117060.4,-131806.6,-138679.1,-142220.5
80,"MIO_BAL_VAL,TOTAL,EXT_EU28,PL",PL,-14500.4,-9632.9,-14265.4,-15812.5,-15687.8,-9908.3,-13675.1,-14774.4,-12372.7,-16970.0,-24960.2,-25582.0
81,"MIO_BAL_VAL,TOTAL,EXT_EU28,PT",PT,-6260.7,-3203.2,-4692.3,-4932.6,-2993.0,-1919.4,-880.6,-595.8,-1158.7,-2267.6,-4355.3,-5015.0
82,"MIO_BAL_VAL,TOTAL,EXT_EU28,RO",RO,-7436.6,-3018.4,-2534.7,-1924.2,-1089.4,1650.7,754.1,-18.5,-1100.3,-3154.7,-5511.6,-6009.0
83,"MIO_BAL_VAL,TOTAL,EXT_EU28,SE",SE,14318.3,11413.2,14219.5,18503.4,15910.5,15712.8,13326.8,14981.7,14581.5,16471.2,13619.9,18198.4
84,"MIO_BAL_VAL,TOTAL,EXT_EU28,SI",SI,-710.6,-400.2,-1304.2,-1442.1,-717.1,-1080.2,-1199.0,-1151.5,-695.7,-1518.4,-2837.8,-3838.0
85,"MIO_BAL_VAL,TOTAL,EXT_EU28,SK",SK,-6618.9,-4460.6,-6297.9,-6757.0,-5778.6,-4871.7,-4279.1,-4085.2,-3232.6,-3675.7,-4454.9,-3323.4
